,theta_1,theta_2,theta_1^2,theta_2^2,theta_1*theta_2
estimated,0.49718015641123553,0.5013961557342109,0.37303331388389194,0.3761370201581108,0.2843995119740811
true,0.4981792973340974,0.5007949654550125,0.3736092231460627,0.37615014694668547,0.2839742868894741
