,theta_1,theta_2,theta_1^2,theta_1*theta_2
estimated,0.011043676736222405,0.0233685804198938,0.8085583751241836,0.5117273344716724
true,0.005069255848457539,0.02487755138573862,0.8031301747962862,0.512491185220285
