,theta_1,theta_2,theta_1^2,theta_2^2,theta_1*theta_2
estimated,-0.015078948793881896,-0.001235719906796791,0.9898282313026553,0.78357416170818,0.4914667544246092
true,-0.017496620545271718,-0.0031843500921624793,0.9876579584608797,0.783062789833378,0.49176635685871734
