n,0,1,2,3,0_MSE,1_MSE,2_MSE,3_MSE
3000.0,1.0045959840124354,1.9970085827009822,1.5001278023304874,0.6929597137093458,0.00014859209904724655,8.735507966804906e-05,0.0001139210020804686,0.00010122623293283887
6000.0,1.0031142217843736,1.9981188025261887,1.5002461952300488,0.6949435482889147,7.408773008890898e-05,4.57477578929725e-05,6.206766589556819e-05,5.943342863376825e-05
10000.0,1.0028505644802235,1.9987957924062014,1.5002186223651082,0.6961435406021615,4.4293386295133825e-05,2.7242811789469824e-05,3.506995969816229e-05,3.2579580276241236e-05
