,theta_1,theta_2,theta_1^2,theta_1*theta_2
estimated,-0.007295673759227069,-0.004099925010743719,0.8412357733613502,0.5064878009033889
true,-0.007310145222631717,-0.00594843541017634,0.8163211748194477,0.5136139114307807
