,theta_1,theta_2,theta_1^2,theta_1*theta_2
estimated,0.4917487758366179,0.5134278486888167,0.34633583056385875,0.27227590880911073
true,0.49586911016961077,0.5020737220332425,0.33583903251622377,0.27404700780935953
