,theta_1,theta_2,theta_1^2,theta_1*theta_2
estimated,0.4965528520081729,0.5045290067286528,0.3388448391312954,0.27522898762932946
true,0.49878876515536885,0.5004219402024233,0.3343709788055283,0.2739506428966232
