,theta_1,theta_2,theta_1^2,theta_1*theta_2
estimated,0.5006189981511986,0.4992665590074737,0.36872591111811015,0.2827639886329878
true,0.5042661191221822,0.5006598620119862,0.37603213586325385,0.28809676420517855
