,theta_1,theta_2,theta_1^2,theta_1*theta_2
estimated,0.489336954062392,0.508548585365047,0.34955186166135144,0.26633375502197065
true,0.49871834010445165,0.4999029128094787,0.3339315606701026,0.27528583864641204
