,theta_1,theta_2,theta_1^2,theta_1*theta_2
estimated,0.4917880886295331,0.4986823219140195,0.3378242413149196,0.26963607787593485
true,0.4969243287767421,0.4975642179667776,0.330872567698203,0.2717732652170467
