,theta_1,theta_2,theta_1^2,theta_1*theta_2
estimated,0.4859420508477118,0.5123467606403336,0.39142671823643266,0.27801404739156516
true,0.49541995387275173,0.49868720826203033,0.3730711172941688,0.28128514301983876
