,theta_1,theta_2,theta_1^2,theta_1*theta_2
estimated,0.5027950518521745,0.4962897650115841,0.3690880942057769,0.2856562373102855
true,0.5010823581788539,0.4995386002720238,0.3749387640130653,0.28449057618345386
