,theta_1,theta_2,theta_1^2,theta_2^2,theta_1*theta_2
estimated,0.5017482606089814,0.4975527792287957,0.3347539623244284,0.3303492628095913,0.2721598319232264
true,0.5006829136916267,0.49830891074503253,0.33351238735716576,0.33186563166297917,0.27243011844709303
